Regnskapsår,Fylke,Kommune,Landsdel,Næring,Sektor,Verdiskaping,Ansatte,Årsverk,Foretak,Aktive Foretak
2019,Akershus,Lørenskog,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,19611946,104.0,59.0,13,11
2022,Akershus,Rælingen,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,11967,,0.0,2,1
2018,Akershus,Asker,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,47280088,155.0,58.7,52,42
2016,Akershus,Lørenskog,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,31091659,111.0,40.7,9,7
2022,Akershus,Asker,Østlandet (Uten Oslo),Formidling,Transport og formidling,26648184,28.0,22.899999999999995,44,31
2021,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,357947866,947.0,557.8,108,90
2017,Akershus,Lørenskog,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,98741165,106.0,47.9,12,9
2018,Akershus,Lillestrøm,Østlandet (Uten Oslo),Formidling,Transport og formidling,35263495,47.0,43.4,19,14
2019,Akershus,Bærum,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,115402401,453.0,144.10000000000002,76,63
2020,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,296732490,970.0,526.0999999999999,92,82
2017,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,146135593,513.0,263.1,40,36
2019,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,160774556,531.0,268.49999999999994,51,44
2016,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,140198749,552.0,249.00000000000003,37,34
2015,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,135828449,440.0,227.99999999999991,32,31
2020,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,150894166,471.0,273.7,51,42
2018,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,151759232,538.0,268.6,45,40
2021,Akershus,Lørenskog,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,170721461,441.0,263.6,54,43
2020,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,84160848,293.0,137.4,32,29
2024,Akershus,Lillestrøm,Østlandet (Uten Oslo),Transport,Transport og formidling,356657000,662.0,383.3,26,18
2021,Akershus,Vestby,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,94482005,295.0,140.6,32,25
2022,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,468331049,1887.0,753.6999999999999,159,129
2023,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,510938500,2016.0,830.5999999999999,163,126
2023,Akershus,Hurdal,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,43996252,106.0,57.900000000000006,3,3
2024,Akershus,Lillestrøm,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,473319000,1752.0,741.5999999999998,170,133
2018,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,1015256447,1915.0,1845.7,150,130
2020,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,974481030,1755.0,1929.4,155,129
2022,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,148231798,358.0,212.7,45,37
2024,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,50344000,90.0,57.4,5,4
2023,Akershus,Frogn,Østlandet (Uten Oslo),Transport,Transport og formidling,80082683,94.0,92.6,5,5
2024,Akershus,Rælingen,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,32768000,108.0,52.20000000000001,16,10
2024,Akershus,Lunner,Østlandet (Uten Oslo),Formidling,Transport og formidling,2274000,5.0,3.4,3,2
2023,Akershus,Lunner,Østlandet (Uten Oslo),Formidling,Transport og formidling,2992598,6.0,3.1,3,2
2021,Akershus,Lunner,Østlandet (Uten Oslo),Formidling,Transport og formidling,1849225,2.0,2.1,2,2
2022,Akershus,Lunner,Østlandet (Uten Oslo),Formidling,Transport og formidling,3029934,5.0,4.1,3,3
2022,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,1096281524,1645.0,1750.6999999999994,162,128
2021,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,446035274,1630.0,747.2,77,68
2024,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,902953000,2274.0,1476.3,87,71
2023,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,853381306,2344.0,1507.0000000000002,85,67
2020,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,445320240,2088.0,895.0,67,60
2022,Akershus,Ullensaker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,569608149,1657.0,931.8,78,65
2024,Akershus,Ullensaker,Østlandet (Uten Oslo),Transport,Transport og formidling,1904892000,2161.0,2521.3,22,17
2017,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,12956033,60.0,30.9,5,4
2022,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,9796970,31.0,17.1,4,3
2020,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,7758802,61.0,16.8,5,3
2018,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,13239217,58.0,27.7,5,3
2019,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,15893335,61.0,28.9,5,5
2021,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,9867527,45.0,16.8,5,4
2023,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,7774777,29.0,13.8,4,2
2015,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,15000608,105.0,31.0,3,3
2016,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,11818958,42.0,26.8,5,3
2024,Akershus,Eidsvoll,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,8768000,22.0,12.6,4,2
2022,Akershus,Frogn,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,39990787,93.0,56.0,5,4
2024,Akershus,Frogn,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,35664000,100.0,64.3,8,7
2023,Akershus,Frogn,Østlandet (Uten Oslo),Overnattingsvirksomhet,Reiseliv ellers,41012929,103.0,63.6,8,5
2021,Akershus,Bærum,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,1125342373,1834.0,1959.0,164,138
2019,Akershus,Lunner,Østlandet (Uten Oslo),Formidling,Transport og formidling,4307032,11.0,4.7,3,3
2018,Akershus,Lunner,Østlandet (Uten Oslo),Formidling,Transport og formidling,4221217,11.0,4.6,3,3
2020,Akershus,Lunner,Østlandet (Uten Oslo),Formidling,Transport og formidling,3013739,11.0,4.0,3,3
2023,Akershus,Asker,Østlandet (Uten Oslo),Serveringsvirksomhet,Reiseliv ellers,323735638,1127.0,534.2000000000002,121,102
2015,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,94508642,263.0,129.9,23,20
2024,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,154803000,425.0,229.0,48,38
2017,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,113981691,327.0,148.50000000000003,28,22
2023,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,143929243,366.0,206.8,51,40
2019,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,110793940,312.0,157.5,32,27
2020,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,101814628,281.0,149.1,34,29
2018,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,118110278,319.0,165.1,33,31
2021,Akershus,Lillestrøm,Østlandet (Uten Oslo),Kultur og underholdning,Reiseliv ellers,112691191,274.0,162.20000000000002,40,32
